date,state,cases,deaths
2020-10-07,Alabama,160477,2580
2020-10-07,Alaska,9656,54
2020-10-07,Arizona,221937,5713
2020-10-07,Arkansas,88071,1469
2020-10-07,California,840322,16251
2020-10-07,Colorado,74535,2094
2020-10-07,Connecticut,59241,4521
2020-10-07,Delaware,21466,646
2020-10-07,District of Columbia,15652,631
2020-10-07,Florida,720117,14766
2020-10-07,Georgia,308493,7062
2020-10-07,Guam,3586,50
2020-10-07,Hawaii,13090,159
2020-10-07,Idaho,45487,494
2020-10-07,Illinois,308990,9100
2020-10-07,Indiana,129281,3711
2020-10-07,Iowa,93805,1413
2020-10-07,Kansas,64021,706
2020-10-07,Kentucky,77741,1255
2020-10-07,Louisiana,170469,5592
2020-10-07,Maine,5565,142
2020-10-07,Maryland,128691,3967
2020-10-07,Massachusetts,135957,9538
2020-10-07,Michigan,143901,7163
2020-10-07,Minnesota,105793,2140
2020-10-07,Mississippi,101678,3027
2020-10-07,Missouri,139172,2258
2020-10-07,Montana,15633,192
2020-10-07,Nebraska,48757,511
2020-10-07,Nevada,83036,1630
2020-10-07,New Hampshire,8731,446
2020-10-07,New Jersey,211129,16147
2020-10-07,New Mexico,30947,894
2020-10-07,New York,471638,32836
2020-10-07,North Carolina,221438,3691
2020-10-07,North Dakota,24368,284
2020-10-07,Northern Mariana Islands,75,2
2020-10-07,Ohio,161299,4947
2020-10-07,Oklahoma,93346,1066
2020-10-07,Oregon,35347,581
2020-10-07,Pennsylvania,170255,8318
2020-10-07,Puerto Rico,51737,696
2020-10-07,Rhode Island,25596,1125
2020-10-07,South Carolina,152970,3471
2020-10-07,South Dakota,24876,248
2020-10-07,Tennessee,202257,2594
2020-10-07,Texas,810689,16622
2020-10-07,Utah,79449,489
2020-10-07,Vermont,1821,58
2020-10-07,Virginia,153182,3291
2020-10-07,Virgin Islands,1321,20
2020-10-07,Washington,94694,2261
2020-10-07,West Virginia,16936,364
2020-10-07,Wisconsin,143886,1410
2020-10-07,Wyoming,6770,53
